year,01,02,03,04,05,06,07,08,09,10,11
2004,0,0,0,0,0,1,0,0,0,1,0
2005,0,0,0,0,1,0,0,0,0,2,0
2006,0,0,0,0,6,0,0,0,0,3,0
2007,0,0,0,0,1,0,0,0,0,3,0
2008,0,0,0,0,0,0,0,0,0,1,0
2009,0,0,0,0,1,0,0,0,0,1,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,1,0,0,0,0,1,0
2013,0,0,0,0,1,0,0,0,0,1,0
2014,0,0,1,1,1,0,0,0,0,1,0
2015,0,0,0,0,1,0,0,0,0,1,0
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,1,0,0,0,0,1,0
2018,0,0,2,0,0,0,0,0,0,1,0
2019,0,0,2,1,1,1,0,0,0,1,0
2020,0,0,2,9,0,0,0,0,1,0,0
2021,0,0,2,3,0,0,0,0,2,0,0
2022,0,1,2,6,0,0,0,0,0,0,0
2023,0,0,6,9,0,0,0,0,0,0,0
2024,4,4,18,13,1,10,5,1,3,4,6
2025,12,16,25,42,6,36,34,1,16,2,10
2026,10,20,30,33,15,30,41,2,18,1,23
